"slug","title","content_type","category","batch_wave","duration_seconds","approval_status","app_instruction_slug","source_image_role","visual_reference_url","character_reference_urls","video_url","thumbnail_url"
"alongamento-leve","Alongamento leve","body_movement","Alongamentos Regionais","1","75","script_ready_needs_final_video","alongamento-leve","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-leve.mp4","/videos/thumbs/alongamento-leve.jpg"
"caminhada-consciente","Caminhada consciente","body_movement","Caminhada","1","210","script_ready_needs_final_video","caminhada-consciente","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/caminhada-consciente.mp4","/videos/thumbs/caminhada-consciente.jpg"
"mobilidade-de-coluna","Mobilidade de coluna","body_movement","Mobilidade","1","150","script_ready_needs_final_video","mobilidade-de-coluna","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/mobilidade-de-coluna.mp4","/videos/thumbs/mobilidade-de-coluna.jpg"
"pausa-sem-tela","Pausa sem tela","body_movement","Pausas de Trabalho / Telas","1","90","script_ready_needs_final_video","pausa-sem-tela","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/pausa-sem-tela.mp4","/videos/thumbs/pausa-sem-tela.jpg"
"reset-postural","Reset postural","body_movement","Mobilidade","1","150","script_ready_needs_final_video","reset-postural","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/reset-postural.mp4","/videos/thumbs/reset-postural.jpg"
"yoga-bolso-coluna-leve","Yoga de bolso: coluna leve","body_movement","Yoga Fisico / Instrucional","1","240","script_ready_needs_final_video","yoga-bolso-coluna-leve","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/yoga-bolso-coluna-leve.mp4","/videos/thumbs/yoga-bolso-coluna-leve.jpg"
"missao-alongamento-leve","Alongamento leve","classic_mission","Missoes Classicas","1","180","script_ready_needs_final_video","alongamento-leve","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/checkin-emocional-guiado.png|/exercises/diario-3-linhas.png","/videos/missao-alongamento-leve.mp4","/videos/thumbs/missao-alongamento-leve.jpg"
"missao-caminhada-consciente","Caminhada consciente","classic_mission","Missoes Classicas","1","180","script_ready_needs_final_video","caminhada-consciente","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/checkin-emocional-guiado.png|/exercises/diario-3-linhas.png","/videos/missao-caminhada-consciente.mp4","/videos/thumbs/missao-caminhada-consciente.jpg"
"missao-pausa-sem-tela","Pausa sem tela","classic_mission","Missoes Classicas","1","90","script_ready_needs_final_video","pausa-sem-tela","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/checkin-emocional-guiado.png|/exercises/diario-3-linhas.png","/videos/missao-pausa-sem-tela.mp4","/videos/thumbs/missao-pausa-sem-tela.jpg"
"missao-respiracao-4-4-6","Respiracao 4-4-6","classic_mission","Missoes Classicas","1","240","script_ready_needs_final_video","respiracao-4-4-6","character_reference","/exercises/respiracao-4-4-6.png","/exercises/gratidao-rapida.png|/exercises/checkin-emocional-guiado.png|/exercises/diario-3-linhas.png","/videos/missao-respiracao-4-4-6.mp4","/videos/thumbs/missao-respiracao-4-4-6.jpg"
"missao-yoga-de-bolso-coluna-leve","Yoga de bolso: coluna leve","classic_mission","Missoes Classicas","1","240","script_ready_needs_final_video","yoga-bolso-coluna-leve","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/checkin-emocional-guiado.png|/exercises/diario-3-linhas.png","/videos/missao-yoga-de-bolso-coluna-leve.mp4","/videos/thumbs/missao-yoga-de-bolso-coluna-leve.jpg"
